"subjec_activity","mean_of_std","mean_of_mean"
"subject_14_walking_upstairs",-0.154654281147419,-0.0675839973893266
"subject_15_laying",-0.962181718324916,-0.503206390416014
"subject_15_sitting",-0.97025459222907,-0.497422802402046
"subject_15_standing",-0.966132857181246,-0.501770733626754
"subject_15_walking",-0.446391143626077,-0.165837482937167
"subject_15_walking_downstairs",-0.209767527583023,-0.018343557439798
"subject_15_walking_upstairs",-0.421318509545474,-0.167364829544122
"subject_16_laying",-0.974313487683983,-0.512261230093331
"subject_16_sitting",-0.968810838932806,-0.500715990291599
"subject_16_standing",-0.977221575462315,-0.511973313638373
"subject_16_walking",-0.539749355518122,-0.226528081859032
"subject_16_walking_downstairs",-0.333898926802489,-0.097646379462392
"subject_16_walking_upstairs",-0.518665903063102,-0.247318746084742
"subject_17_laying",-0.969502280717029,-0.493147100517735
"subject_17_sitting",-0.982201351581439,-0.511807902533892
"subject_17_standing",-0.98342571462704,-0.523527623853675
"subject_17_walking",-0.437683311620571,-0.180876916238073
"subject_17_walking_downstairs",-0.349846604199914,-0.117045048974242
"subject_17_walking_upstairs",-0.424126942064918,-0.180887757725832
"subject_18_laying",-0.987915725314685,-0.504350354328079
"subject_18_sitting",-0.98682249891547,-0.500879188018935
"subject_18_standing",-0.977252557799917,-0.51159610403823
"subject_18_walking",-0.553086396517316,-0.235871294315281
"subject_18_walking_downstairs",-0.52241384561708,-0.232639629533945
"subject_18_walking_upstairs",-0.570427044938871,-0.282511419626969
"subject_19_laying",-0.975283077013509,-0.509003422068129
"subject_19_sitting",-0.9708062616978,-0.485545520880056
"subject_19_standing",-0.968736065118306,-0.502360007746994
"subject_19_walking",-0.166549887439714,0.0185747466575533
"subject_19_walking_downstairs",0.102040595148446,0.207842446636077
"subject_19_walking_upstairs",-0.309249674295568,-0.0845329172028788
"subject_2_laying",-0.980492348554293,-0.50576115791339
"subject_2_sitting",-0.974113940790514,-0.500610030441972
"subject_2_standing",-0.970481596212121,-0.509458925821768
"subject_2_walking",-0.471518668508629,-0.179377744257812
"subject_2_walking_downstairs",-0.199973200120761,-0.0128498425231206
"subject_2_walking_upstairs",-0.385997363253851,-0.155899912507109
"subject_20_laying",-0.971673243807487,-0.50402180870232
"subject_20_sitting",-0.962054556825528,-0.490150258459881
"subject_20_standing",-0.924119798111249,-0.483051016351879
"subject_20_walking",-0.183373669065847,-0.00743287435070826
"subject_20_walking_downstairs",-0.112178541969717,0.0205673516885596
"subject_20_walking_upstairs",-0.300987852818651,-0.110537891611682
"subject_21_laying",-0.966463192717172,-0.49217039828296
"subject_21_sitting",-0.980383901240642,-0.505868080101233
"subject_21_standing",-0.965203536826694,-0.515461450059273
"subject_21_walking",-0.349500177592578,-0.12972532338521
"subject_21_walking_downstairs",-0.235810184772458,-0.0434805464459461
"subject_21_walking_upstairs",-0.419599595109684,-0.177786205194939
"subject_22_laying",-0.949517000464268,-0.488323361132555
"subject_22_sitting",-0.957196402985694,-0.483133445839389
"subject_22_standing",-0.955314916002886,-0.498255676157369
"subject_22_walking",-0.26807311689122,-0.0556136405290072
"subject_22_walking_downstairs",-0.262597418835227,-0.0321664187679554
"subject_22_walking_upstairs",-0.29935642051746,-0.0840679501617965
"subject_23_laying",-0.974838249659091,-0.502068483700922
"subject_23_sitting",-0.960073119210339,-0.492153863023393
"subject_23_standing",-0.962661937054367,-0.507486524729542
"subject_23_walking",-0.178675924182244,-0.0151920652623677
"subject_23_walking_downstairs",-0.096587253434725,0.0856423076854714
"subject_23_walking_upstairs",-0.380009725559834,-0.138862085159026
"subject_24_laying",-0.977079799002525,-0.499245803186717
"subject_24_sitting",-0.977869422566845,-0.496419075664324
"subject_24_standing",-0.965586593825209,-0.503253505697188
"subject_24_walking",-0.505709536494514,-0.20820533795512
"subject_24_walking_downstairs",-0.361825458960094,-0.121025608942815
"subject_24_walking_upstairs",-0.501053199934977,-0.224183976119461
"subject_25_laying",-0.859226441427107,-0.450866870566094
"subject_25_sitting",-0.978816477948252,-0.49641281595442
"subject_25_standing",-0.97601896464783,-0.502494367163354
"subject_25_walking",-0.578702555047461,-0.261609986650979
"subject_25_walking_downstairs",-0.489388597208359,-0.202515388020726
"subject_25_walking_upstairs",-0.588295610674266,-0.282541876168821
"subject_26_laying",-0.980657343927432,-0.508710403510201
"subject_26_sitting",-0.971816617586636,-0.492601756042066
"subject_26_standing",-0.975943695888616,-0.504876753283632
"subject_26_walking",-0.466805034954854,-0.170675802716523
"subject_26_walking_downstairs",-0.284848807776182,-0.0661373995186115
"subject_26_walking_upstairs",-0.467172712379008,-0.193503264709355
"subject_27_laying",-0.985017043521703,-0.509062502687154
"subject_27_sitting",-0.981737422142857,-0.495477709500965
"subject_27_standing",-0.977877930784091,-0.509779188132768
"subject_27_walking",-0.454950979293647,-0.175650242052601
"subject_27_walking_downstairs",-0.297589565580647,-0.0636421703057369
"subject_27_walking_upstairs",-0.500441710464349,-0.235577658113458
"subject_28_laying",-0.964252162746212,-0.535170511866983
"subject_28_sitting",-0.964937670239899,-0.497144560959832
"subject_28_standing",-0.935392243072497,-0.489441887481676
"subject_28_walking",-0.453530772337374,-0.174213213286403
"subject_28_walking_downstairs",-0.251741788748867,-0.0270513374056252
"subject_28_walking_upstairs",-0.451136779495425,-0.19566630324426
"subject_29_laying",-0.988594156319719,-0.505500411371238
"subject_29_sitting",-0.982026481712121,-0.496017831658121
"subject_29_standing",-0.985727862638695,-0.508231420141435
"subject_29_walking",-0.394165626288159,-0.119527758730457
"subject_29_walking_downstairs",-0.295372120789495,-0.0622532573329514
"subject_29_walking_upstairs",-0.32789664862457,-0.136016812398584
"subject_3_laying",-0.973555798352884,-0.495139579001589
"subject_3_sitting",-0.936746787346154,-0.478944112603013
"subject_3_standing",-0.934573756328862,-0.489562657161571
"subject_3_walking",-0.450988754712889,-0.184906847435204
"subject_3_walking_downstairs",-0.35927889525865,-0.106137838485022
"subject_3_walking_upstairs",-0.494763604117052,-0.221951531400878
"subject_30_laying",-0.97131121374026,-0.496127699551121
"subject_30_sitting",-0.971669425166178,-0.492447529744965
"subject_30_standing",-0.941460565007704,-0.487123238836514
"subject_30_walking",-0.388133759487506,-0.145907370846527
"subject_30_walking_downstairs",-0.332598011603382,-0.102448771145494
"subject_30_walking_upstairs",-0.45655535663849,-0.221270619924211
"subject_4_laying",-0.960841350255892,-0.496494719070863
"subject_4_sitting",-0.951483705307273,-0.484203136101009
"subject_4_standing",-0.931971966691558,-0.478668968631246
"subject_4_walking",-0.556813870101975,-0.227442395283293
"subject_4_walking_downstairs",-0.430345489469064,-0.133335907452141
"subject_4_walking_upstairs",-0.481670281281346,-0.201041619091582
"subject_5_laying",-0.97277492210373,-0.505395795608001
"subject_5_sitting",-0.952403047947934,-0.483921969559625
"subject_5_standing",-0.923529957596862,-0.47296792859664
"subject_5_walking",-0.426550893998593,-0.155142177775656
"subject_5_walking_downstairs",-0.256359233626873,-0.0430847556457143
"subject_5_walking_upstairs",-0.359295474612702,-0.129397913853791
"subject_6_laying",-0.938894773891707,-0.490068230923604
"subject_6_sitting",-0.949510577900826,-0.483739868346573
"subject_6_standing",-0.950810498112706,-0.49552886184261
"subject_6_walking",-0.359321371006842,-0.102949895258251
"subject_6_walking_downstairs",-0.0757123543931742,0.0741041451560101
"subject_6_walking_upstairs",-0.290928021342602,-0.0890416065711943
"subject_7_laying",-0.951894384892075,-0.495819744578019
"subject_7_sitting",-0.939410998802399,-0.485297754668864
"subject_7_standing",-0.954527409782733,-0.49712229567251
"subject_7_walking",-0.286082417455657,-0.0830516234370202
"subject_7_walking_downstairs",-0.267075771251554,-0.0622407365915023
"subject_7_walking_upstairs",-0.493867277426738,-0.231834766139828
"subject_8_laying",-0.953251137141975,-0.491561903564916
"subject_8_sitting",-0.965444231379447,-0.489469650810414
"subject_8_standing",-0.966665007124242,-0.503983250586588
"subject_8_walking",-0.258282654667929,-0.0628541721995309
"subject_8_walking_downstairs",-0.088038872473445,0.085966626079681
"subject_8_walking_upstairs",-0.243298670404065,-0.0504608937056763
"subject_9_laying",-0.944242142015576,-0.508050878962618
"subject_9_sitting",-0.928220936999515,-0.480826574001152
"subject_9_standing",-0.950814844363636,-0.488015383285394
"subject_9_walking",-0.420159775816509,-0.153452675501248
"subject_9_walking_downstairs",-0.264963539122641,-0.0601334227732157
"subject_9_walking_upstairs",-0.490629371223921,-0.214015127123996
